1	EL PROCEDIMIENTO ADMINISTRATIVO SANCIONATORIO SE INICIA CON?	UN AUTO MOTIVO	UN AUTO NOTIFICADO	UN AUTO MOTIVADO	UN AUTO SANCIONADO	C	1	1
15	DE ACUERDO A LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, UNA VEZ APROBADA LA LEY DE PRESUPUESTO POR EL CONSEJO LEGISLATIVO QUIEN  DECRETARA LA DISTRIBUCIÓN INSTITUCIONAL DEL PRESUPUESTO DE GASTOS: 	PROCURADOR DEL ESTADO	SECRETARIO GENERAL DE GOBIERNO	EL GOBERNADOR O GOBERNADORA DEL ESTADO	TODAS LAS ANTERIORES	C	1	1
16	DE  CONFORMIDAD CON LA LCC, SON INSTANCIAS  DE PARTICIPACIÓN, ARTICULACIÓN E INTEGRACIÓN ENTRE LAS DIVERSAS ORGANIZACIONES COMUNITARIAS, GRUPOS SOCIALES Y LOS CIUDADANOS Y CIUDADANAS QUE PERMITEN AL PUEBLO ORGANIZADO EJERCER DIRECTAMENTE	LAS GESTIONES DE LAS POLÍTICAS DEL ESTADO.	LAS GESTIONES DE LAS COMUNIDADES	LAS GESTIONES DE LAS POLÍTICA PÚBLICAS	LAS GESTIONES SOCIOECONÓMICAS.	C	1	1
17	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, ESTA  FACULTADO O FACULTADA PARA DECRETAR TRASPASOS ENTRE PROGRAMAS Y SUS CATEGORÍAS EQUIVALENTES, SUB-PROGRAMAS, PROYECTOS Y PARTIDAS   :	PROCURADOR O PROCURADORA DEL ESTADO	CONTRALOR O CONTRALORA DEL ESTADO	GOBERNADOR O GOBERNADORA DEL ESTADO	NINGUNA DE LAS ANTERIORES	C	1	1
18	SE  CONSIDERA PATRIMONIO PÚBLICO AQUEL QUE CORRESPONDA POR CUALQUIER TITULO A	LOS ÓRGANOS ENTIDADES A LOS QUE INCUMBE EL EJERCICIO DEL PODER PUBLICO NACIONAL	LOS ÓRGANOS Y ENTES A LOS QUE INCUMBE EL EJERCICIO DEL PODER PUBLICO ESTADAL	LOS ÓRGANOS Y ENTES A LOS QUE INCUMBE EL EJERCICIO DEL PODER PUBLICO EN LOS DISTRITOS Y DISTRITOS METROPOLITANOS	TODAS LAS ANTERIORES	D	1	1
19	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, LOS FONDOS REINTEGRADOS AL TESORO ESTADAL, PROVENIENTES DE SOBREPAGOS EN EJERCICIOS ANTERIORES AL VIGENTE SERÁN CONTABILIZADOS COMO INGRESOS PERTENECIENTES AL EJERCICIO:	ANTERIOR	EJECUCIÓN	AÑO SIGUIENTE	NINGUNA DE LAS ANTERIORES	B	1	1
20	DE ACUERDO CON LA LEY CONTRA LA CORRUPCIÓN EN LA ADMINISTRACIÓN DE LOS BIENES Y RECURSOS PÚBLICOS, LOS FUNCIONARIOS Y EMPLEADOS PÚBLICOS SE REGIRÁN POR	PRINCIPIOS	NORMAS DE AUDITORIA DE ESTADO	REGLAMENTOS INTERNOS	NORMAS DE CONTROL INTERNO	A	1	1
21	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, EL MONTO QUE DEBERÁ INCORPORARSE A LA PARTIDA "RECTIFICACIONES AL PRESUPUESTO", SU MONTO NO PODRÁ SER :	INFERIOR AL 0,5%  NI SUPERIOR AL 2% 	INFERIOR AL 2% NI SUPERIOR AL 4%	INFERIOR AL 0,8% NI SUPERIOR AL 2%	NINGUNA DE LAS ANTERIORES	A	1	1
22	SEGÚN LA LCC, ¿QUIEN SOLICITA A LA MÁXIMA AUTORIDAD DEL ENTE U ORGANISMO, LA APLICACIÓN DE LAS MEDIDAS PREVENTIVAS CON EL OBJETO DE ASEGURAR LA PRESENTACIÓN DE LA D.J.P. Y/O LOS DOCUMENTOS QUE SE EXIJAN EN EL PROCEDIMIENTO DE VERIFICACIÓN PATRIMONIAL?	EL FISCAL GENERAL DE LA REPÚBLICA	EL CONTRALOR GENERAL DE LA REPÚBLICA	EL PROCURADOR GENERAL DE LA REPÚBLICA	NINGUNA DE LAS ANTERIORES	B	1	1
23	DE ACUERDO A LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO,  SI PARA EL PRIMERO DE ENERO NO SE HUBIERE SANCIONADO EL PRESUPUESTO PARA EL EJERCICIO PRESUPUESTARIO QUE SE INICIA  ESE DIA SE DEBERÁ:	DISMINUIR EL PRESUPUESTO ANTERIOR	RECONDUCIR EL PRESUPUESTO 	ELABORAR Y PRESENTAR EN FECHA POSTERIOR UN PRESUPUESTO	NINGUNA DE LAS ANTERIORES	B	1	1
24	DE ACUERDO CON LA LEY CONTRA LA CORRUPCIÓN EN LA SENTENCIA DEFINITIVA EL JUEZ PODRÁ ORDENAR, SEGÚN LAS CIRCUNSTANCIAS DEL CASO	LA CONFISCACIÓN DE LOS BIENES DE LAS PERSONAS NATURALES O JURÍDICAS, NACIONALES O EXTRANJERAS, QUE INCURRAN O SEAN RESPONSABLES DE DELITOS ESTABLECIDOS EN ESTA LEY….	EL LAPSO DE INHABILITACIÓN A QUE SE REFIERE ESTE PROCEDIMIENTOS	LAS ACCIONES PENALES Y CIVILES DERIVADAS DE LOS DELITOS TIPIFICADOS 	NINGUNA DE LAS ANTERIORES	A	1	1
25	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO CUANDO UN CRÉDITO PRESUPUESTARIO QUEDA AFECTADO VALIDAMENTE POR COMPROMISO DEFINITIVO ES CONSIDERADO COMO :	GASTADO	COMPROMETIDO	PENDIENTE POR COMPROMETER	NINGUNA DE LAS ANTERIORES	A	1	1
26	EL FUNCIONARIO PUBLICO QUE ABUSANDO DE SUS FUNCIONES, UTILICE SU CARGO PARA FAVORECER O PERJUDICAR ELECTORALMENTE A UN CANDIDATO, GRUPO, PARTIDO O MOVIMIENTO POLÍTICO, SERÁ SANCIONADO CON PRISIÓN DE	5 AÑOS A 10 AÑOS 	3 AÑOS  A 6 AÑOS	1 AÑO A 3 AÑOS	6 MESES A  1 AÑO	C	1	1
27	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO,  EL INCUMPLIMIENTO DE UNA META PODRÁ DAR ORIGEN A :	SANCIÓN PENAL	DESTITUCIÓN INMEDIATA	AVERIGUACIÓN  ADMINISTRATIVA	TODAS LAS ANTERIORES	C	1	1
28	DE ACUERDO CON LA LEY CONTRA LA CORRUPCIÓN LOS COMISARIOS, ADMINISTRADORES, DIRECTORES O PRINCIPALES DE PERSONAS JURÍDICAS EN LAS QUE TENGAN INTERÉS ALGÚN ÓRGANO O ENTE PUBLICO QUE, A FALTA DE BALANCE LEGALMENTE  APROBADO, EN  DISCONFORMIDAD CON ÉL O CON BASE A BALANCES INSINCEROS, DECLAREN, COBREN O PAGUEN UTILIDADES FICTICIAS O QUE NO DEBAN DISTRIBUIRSE, SERÁN PENADOS CON PRISIÓN DE:	 1 A 5 AÑOS	3 A 6 AÑOS	1 A 6 AÑOS	4 A 10 AÑOS	A	1	1
29	SEGÚN  LA LEY DE RÉGIMEN PRESUPUESTARIO  DEL ESTADO,  LOS TRASPASOS QUE DISPONGA LA ASAMBLEA LEGISLATIVA Y LA CONTRALORÍA DEL ESTADO SERÁN SOLICITADAS POR SUS MÁXIMAS AUTORIDADES ANTE :	PROCURADOR DEL ESTADO	SECRETARIO GENERAL DE GOBIERNO	GOBERNADOR O GOBERNADORA DEL ESTADO	NINGUNA DE LAS ANTERIORES	C	1	1
30	DE ACUERDO CON LA LEY CONTRA LA CORRUPCIÓN, LA CONTRALORÍA GENERAL DE LA REPÚBLICA EN MATERIA DE CORRUPCIÓN  TIENE LOS SIGUIENTES DEBERES Y ATRIBUCIONES	VELAR POR LA APLICACIÓN DE LAS SANCIONES ADMINISTRATIVAS Y DISCIPLINARIAS.	INTENTAR LA ACCIÓN CIVIL POR COBRO DE LAS MULTAS ADMINISTRATIVAS COMO CONSECUENCIA DE LA DECLARACIÓN DE RESPONSABILIDAD ADMINISTRATIVA Y QUE NO HUBIEREN SIDO SATISFECHAS	PRACTICAR INV.PERTINENTES CUANDO FUNDADAMENTE SE PRESUMA QUE ALGUNAS DE LAS PERSONAS SOMETIDAS A LCC, HUBIERE EFECTUADO REMESAS DE FONDOS AL EXT. A FIN DE  OCULTAR SU ENRIQUECIMIENTO ILÍCITO	TODAS  LAS ANTERIORES	C	1	1
31	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, LOS ORGANISMOS PÚBLICOS ESTATALES  DEBERÁN PARTICIPAR LOS RESULTADOS DE LA EJECUCIÓN DE SUS PRESUPUESTOS  A:	OFICINA DE PLANIFICACIÓN Y PRESUPUESTO	CONSEJO LEGISLATIVO	SECRETARIO GENERAL DE GOBIERNO 	NINGUNA DE LAS ANTERIORES	A	1	1
32	DE ACUERDO A LA LEY CONTRA LA CORRUPCIÓN SEGÚN EL ARTICULO 23 QUE ESTARÁ EXENTO DE TODO IMPUESTO O TASA 	LOS INFORMES DE AUDITORIAS	LAS ACCIONES PENALES Y CIVILES DERIVADAS DE LOS DELITOS TIPIFICADOS 	LA DECLARACIÓN JURADA DE PATRIMONIO	TODAS LAS ANTERIORES	C	1	1
33	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, NO SE PODRÁN ASUMIR COMPROMISOS CON CARGO AL EJERCICIO QUE SE CIERRA EN ESA FECHA Y LOS CRÉDITOS PRESUPUESTARIOS NO AFECTADOS POR COMPROMISOS DEFINITIVOS CADUCARAN SIN EXCEPCIÓN :	CON POSTERIORIDAD AL 31 DE ENERO	CON POSTERIORIDAD AL 31 DE DICIEMBRE	CON ANTERIORIDAD AL 30 DE OCTUBRE	TODAS LAS ANTERIORES	B	1	1
34	DE ACUERDO CON LA LEY CONTRA LA CORRUPCIÓN LOS FUNCIONARIOS Y EMPLEADOS CEÑIRÁN SUS ACTUACIONES A LAS DISPOSICIONES DE:	CÓDIGO DE ÉTICA PARA EL FUNCIONARIO PUBLICO	EL CONTRALOR GENERAL DE LA REPÚBLICA	INSPECTORIA DEL TRABAJO	PROCURADOR O PROCURADORA DEL ESTADO	A	1	1
35	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, LOS PROYECTOS DE PRESUPUESTO DE LAS FUNDACIONES SE SOMETERÁN A LA APROBACIÓN DE :	GOBERNADOR  O GOBERNADORA DEL ESTADO	CONTRALOR O CONTRALORA DEL ESTADO	PROCURADOR O PROCURADORA DEL ESTADO DEL ESTADO	TODAS LAS ANTERIORES	A	1	1
36	DE ACUERDO CON LA LEY CONTRA LA CORRUPCIÓN, LA INHABILITACIÓN PARA EJERCER CUALQUIER CARGO PÚBLICO SERÁ DETERMINADA POR EL CONTRALOR GENERAL DE LA REPÚBLICA EN LOS SIGUIENTES CASOS	EL FUNCIONARIO PÚBLICO QUE FALSEARE U OCULTARE LOS DATOS CONTENIDOS EN LA DECLARACIÓN JURADA DE PATRIMONIO  O LOS SUMINISTRADOS EN EL PROCESO DE VERIFICACIÓN PATRIMONIAL	EL FUNCIONARIO O EMPLEADO PÚBLICO QUE HAYA SIDO CONDENADO POR CUALESQUIERA DE LOS DELITOS ESTABLECIDOS EN LA LEY CONTRA LA CORRUPCIÓN	LOS FISCALES O REPRESENTANTES DEL MINISTERIO PÚBLICO QUE DOLOSAMENTE NO INTERPONGAN LOS RECURSOS LEGALES	TODAS  LAS ANTERIORES	A	1	1
37	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, NO SE PODRÁN EJECUTAR GASTOS PARA LOS CUALES NO EXISTAN CRÉDITOS PRESUPUESTARIOS DISPONIBLES, NI DISPONER DE CRÉDITOS PARA UNA :	FINALIDAD DISTINTA A LA PREVISTA	ACTIVIDAD NO PLANIFICADA  	CONTRATACIÓN NO PLANIFICADA	TODAS LAS ANTERIORES	A	1	1
38	DE ACUERDO CON LA LEY CONTRA LA CORRUPCIÓN CUAL DE ESTA ES UNA MEDIDA PREVENTIVA 	LAS DEMÁS PERSONAS DE DERECHO PUBLICO NACIONALES, ESTADALES, DISTRITALES Y MUNICIPALES	LOS ÓRGANOS  Y ENTIDADES A LOS QUE INCUMBE EL EJERCICIO DEL PODER PUBLICO NACIONAL	LOS INSTITUTOS AUTÓNOMOS NACIONALES, ESTADALES, DISTRITALES Y MUNICIPALES	EL FUNCIONARIO QUE NO EJECUTE LA SUSPENSIÓN ACORDADA POR EL CONTRALOR GENERAL DE LA REPÚBLICA	D	1	1
39	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, QUEDA TERMINANTEMENTE PROHIBIDO TODO EGRESO DE FONDOS DEL ESTADO QUE NO SE ENCUENTRE RESPALDADO POR  UNA  :	NOTA DE DEBITO	ORDEN DE PAGO	AUTORIZACIÓN DEL GOBERNADOR	TODAS LAS ANTERIORES	B	1	1
40	DE ACUERDO CON LA LEY CONTRA LA CORRUPCIÓN QUIEN PODRÁ ACLARAR LAS DUDAS QUE PUEDAN PRESENTARSE EN LA INTERPRETACIÓN DE LA OBLIGACIÓN DE HACER DECLARACIÓN JURADA DE PATRIMONIO	EL MINISTERIO PUBLICO	LA CONTRALORÍA GENERAL DE LA REPUBLICA	PROCURADURÍA  GENERAL DE LA REPUBLICA	CÓDIGO DE ÉTICA PARA EL FUNCIONARIO PUBLICO	B	1	1
41	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO,  LAS FUNDACIONES PARA EFECTUAR TRASPASOS DE CRÉDITOS PRESUPUESTARIOS ENTRE PROGRAMAS, SUB-PROGRAMAS, PROYECTOS Y PARTIDAS, ASI COMO LA MODIFICACIÓN QUE FUERE NECESARIO DEBERÁ SOLICITAR AUTORIZACIÓN DE :	GOBERNADOR  O GOBERNADORA DEL ESTADO	PROCURADOR O PROCURADURÍA DEL ESTADO	CONTRALOR O CONTRALORA DEL ESTADO	TODAS LAS ANTERIORES	A	1	1
42	RECIBIR, ADMITIR, ESTUDIAR, COTEJAR, VERIFICAR, ORDENAR Y ARCHIVAR LAS DECLARACIONES JURADAS DE PATRIMONIO QUE LE FUEREN PRESENTADAS ES UN DEBER Y ATRIBUCIÓN EN MATERIA DE CORRUPCIÓN DE QUIEN	GOBERNACIONES DE ESTADOS	TESORERÍA DE ESTADO	MINISTERIO PUBLICO	CONTRALORÍA GENERAL DE LA REPUBLICA	D	1	1
43	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, LOS FUNCIONARIOS Y EMPLEADOS DE LOS ORGANISMOS CUYOS PRESUPUESTOS SON REGIDOS POR ESTA LEY ESTÁN OBLIGADOS A SUMINISTRAR LAS INFORMACIONES QUE REQUIERA LA :	OFICINA ESTATAL  DE PLANIFICACIÓN Y PRESUPUESTO	SECRETARIO GENERAL DE GOBIERNO	PROCURADOR O PROCURADORA DEL ESTADO	TODAS LAS ANTERIORES	A	1	1
44	DE ACUERDO CON LA LEY CONTRA LA CORRUPCIÓN TERMINADA LA INVESTIGACIÓN, SI NO RESULTAREN PROBADOS LOS HECHOS AVERIGUADOS, DIGA QUIEN HARÁ LA DECLARACIÓN EXPRESA DE ELLO:	LA CONTRALORÍA GENERAL DE LA REPUBLICA	EL MINISTERIO PUBLICO	EL CÓDIGO ORGÁNICO PROCESAL PENAL	NINGUNA DE LASA ANTERIORES	B	1	1
45	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, TENDRÁ A SU CARGO EL REGISTRO DE LAS CUENTAS DEL TESORO:	DIRECCIÓN DE PLANIFICACIÓN Y PRESUPUESTO	TESORERÍA DEL ESTADO	PROCURADURÍA DEL ESTADO	NINGUNA DE LAS ANTERIORES	B	1	1
46	SEGÚN EL REGLAMENTO INTERNO DE LA CONTRALORÍA DEL ESTADO DELTA AMACURO ,  QUE NORMATIVA LEGAL  ESTABLECE LA ESTRUCTURA, ORGANIZACIÓN Y FUNCIONAMIENTO DE LAS DEPENDENCIAS DE LA CONTRALORÍA DEL ESTADO, ASI COMO LA DISTRIBUCIÓN DE FUNCIONES Y LA ASIGNACIÓN DE COMPETENCIAS     	NORMAS GENERALES DE CONTROL INTERNO EMITIDAS POR LA CONTRALORÍA GENERAL DE LA REPUBLICA	LEY ORGÁNICA DE LA CONTRALORÍA GENERAL DE LA REPUBLICA Y DEL SISTEMA NACIONAL DE CONTROL FISCAL	REGLAMENTO INTERNO DE LA CONTRALORÍA DEL ESTADO DELTA AMACURO	TODAS LAS ANTERIORES	C	1	1
